"","sample","maxn","latitude","longitude","depth","ZoneName"
"237","71",2,-33.4270833,115.4286667,24.4,"Special Purpose Zone (Mining Exclusion)"
"240","719",8,-33.6009667,115.23245,26.3,"Habitat Protection Zone"
"241","72",14,-33.4624833,115.32235,29.4,"Special Purpose Zone (Mining Exclusion)"
"243","73",0,-33.3718,115.1456,41.5,"Special Purpose Zone (Mining Exclusion)"
"246","746",0,-33.5794333,115.3570667,13.2,"Multiple Use Zone"
"247","748",0,-33.3695667,115.5138333,11.1,"Special Purpose Zone (Mining Exclusion)"
"248","75",4,-33.5893333,115.29455,16.6,"Multiple Use Zone"
"250","755",1,-33.43385,115.4571167,11.3,"Special Purpose Zone (Mining Exclusion)"
"251","759",51,-33.5759,115.3173333,17.3,"Multiple Use Zone"
"252","76",0,-33.41295,115.2846833,35.2,"Special Purpose Zone (Mining Exclusion)"
"253","762",8,-33.5198667,115.4149,13,"Multiple Use Zone"
"254","764",2,-33.3744333,115.49605,11.6,"Special Purpose Zone (Mining Exclusion)"
"255","77",13,-33.45575,115.1029,40.8,"Special Purpose Zone (Mining Exclusion)"
"256","779",6,-33.5817167,115.2263667,19,"Habitat Protection Zone"
"257","78",1,-33.5076,115.4437667,13.4,"Multiple Use Zone"
"258","782",3,-33.5142,115.4368333,13.7,"Multiple Use Zone"
"259","783",3,-33.5817167,115.2263667,21.5,"Habitat Protection Zone"
"261","79",0,-33.5874,115.2308833,18.5,"Habitat Protection Zone"
"262","791",31,-33.4851333,115.4435167,15,"Multiple Use Zone"
"264","80",0,-33.3515833,115.5195333,20.7,"Special Purpose Zone (Mining Exclusion)"
"265","800",11,-33.5731667,115.1934833,22.9,"Multiple Use Zone"
"267","81",0,-33.3788167,115.23045,38.9,"Special Purpose Zone (Mining Exclusion)"
"268","810",2,-33.5513333,115.3766,14.3,"National Park Zone"
"270","82",0,-33.3955167,115.1102833,42.6,"Special Purpose Zone (Mining Exclusion)"
"271","823",5,-33.5857333,115.2872167,16.2,"Multiple Use Zone"
